task,tier,held_out_city,seed,model,params,val_rmse,zero_shot,n,rmse,mae,bias,r2,median_ae
F,static_only,ALL,0,lgbm_tuned_lags,"(0.03, 63, 20, 0.9)",31.878854693852578,False,2214,21.987129729608696,12.570573593412124,-2.859799740964945,0.5782703237554399,5.849646100086225
F,static_only,ALL,1,lgbm_tuned_lags,"(0.03, 63, 20, 0.9)",31.878854693852578,False,2214,22.05590254642969,12.686338863125355,-2.961469836681494,0.5756279690931018,5.997841862609453
F,static_only,ALL,2,lgbm_tuned_lags,"(0.03, 63, 20, 0.9)",31.878854693852578,False,2214,21.91245574895505,12.625374675665967,-3.0185193889233863,0.5811300654484437,5.887293664914916
F,static_only,ALL,3,lgbm_tuned_lags,"(0.03, 63, 20, 0.9)",31.878854693852578,False,2214,22.05150484626797,12.644967908629122,-2.9368492608827954,0.5757971822902714,5.996681288450766
F,static_only,ALL,4,lgbm_tuned_lags,"(0.03, 63, 20, 0.9)",31.878854693852578,False,2214,22.167995678084896,12.714184965613788,-3.1289010205962806,0.5713034968959657,5.866085681397312
F,deployable,ALL,0,lgbm_tuned_lags,"(0.08, 63, 20, 0.7)",31.186766971616397,False,2214,21.238617983530297,12.16597720813637,-4.157861134125752,0.6064956011668434,5.742974725671438
F,deployable,ALL,1,lgbm_tuned_lags,"(0.08, 63, 20, 0.7)",31.186766971616397,False,2214,21.696530670942238,12.493452642499244,-4.161427689573896,0.5893444714190568,5.879343493866532
F,deployable,ALL,2,lgbm_tuned_lags,"(0.08, 63, 20, 0.7)",31.186766971616397,False,2214,21.565671803225598,12.342581547130058,-3.7472146212200115,0.5942831284635633,5.888149333361539
F,deployable,ALL,3,lgbm_tuned_lags,"(0.08, 63, 20, 0.7)",31.186766971616397,False,2214,21.692323461273492,12.423394681937516,-3.8376089145239454,0.5895037177450855,5.739017237524582
F,deployable,ALL,4,lgbm_tuned_lags,"(0.08, 63, 20, 0.7)",31.186766971616397,False,2214,21.684502056576523,12.50593538424881,-4.036637136147083,0.5897996822356559,5.822329011361713
F,retrospective,ALL,0,lgbm_tuned_lags,"(0.08, 31, 20, 0.7)",28.95347152243083,False,2214,21.808572817150395,12.184615300667511,-3.8331800885656975,0.5850922221992578,5.574068472474121
F,retrospective,ALL,1,lgbm_tuned_lags,"(0.08, 31, 20, 0.7)",28.95347152243083,False,2214,21.603493069564998,12.198335139191263,-3.847210079512997,0.5928588110047435,5.639112041378274
F,retrospective,ALL,2,lgbm_tuned_lags,"(0.08, 31, 20, 0.7)",28.95347152243083,False,2214,21.533182856893344,12.123503515154153,-3.4842850597646513,0.5955046424401371,5.599689261002603
F,retrospective,ALL,3,lgbm_tuned_lags,"(0.08, 31, 20, 0.7)",28.95347152243083,False,2214,21.629395802573235,12.173724235762823,-3.742330642732626,0.5918818956619105,5.769276602975431
F,retrospective,ALL,4,lgbm_tuned_lags,"(0.08, 31, 20, 0.7)",28.95347152243083,False,2214,21.127956191114176,11.990639001315788,-3.472384401208592,0.6105855524290504,5.681679985501274
